姓名,籍贯,省份,城市,身份标签,严重度,恶性事件类型,涉及事件名称,罪行摘要,恶性事件详情,结局
赵启元,,,,[伪开原县县长],MEDIUM,围剿,,伪职：伪开原县县长；罪行：开原被日伪定为 “模范县”；推行粮食出荷，疯狂掠夺大豆粮食，强征国兵、劳工，围剿抗联。；结局：光复后汉奸罪判刑。,推行粮食出荷，疯狂掠夺大豆粮食，强征国兵、劳工，围剿抗联。,光复后汉奸罪判刑。
赵得宝,江宁禄口,江苏,南京,"[军长, 清乡]",MEDIUM,清乡,,伪任职务：伪禄口乡自卫团长，为日军征集粮草民夫，带路 “清乡”。。结局：抗战胜利后群众控诉，判刑劳改,伪任职务：伪禄口乡自卫团长，为日军征集粮草民夫，带路 “清乡”。。结局：抗战胜利后群众控诉，判刑劳改,抗战胜利后群众控诉，判刑劳改
赵德山,林口、穆棱交界山林,黑龙江,牡丹江,[伪特务，原抗联人员],MEDIUM,扫荡,,伪职：伪特务，原抗联人员；罪行：叛变后充当伪讨伐队向导，熟悉吉东山林，出卖多处抗联密营位置，多次参与进山扫荡。；结局：解放后被逮捕惩处。,罪行：叛变后充当伪讨伐队向导，熟悉吉东山林，出卖多处抗联密营位置，多次参与进山扫荡。,解放后被逮捕惩处。
赵玉昆,易县,河北,保定,[原八路军支队司令员，叛变投敌，伪易县警备团长兼特务部长；狼牙山五壮士事件主要祸首，熟悉根据地内情，带领日军反复扫荡晋察冀一分区，残害大批干部群众；势力延伸定兴、易县、涞水一带。],MEDIUM,扫荡,,伪职：原八路军支队司令员，叛变投敌，伪易县警备团长兼特务部长；狼牙山五壮士事件主要祸首，熟悉根据地内情，带领日军反复扫荡晋察冀一分区，残害大批干部群众；势力延伸定兴、易县、涞水一带。；结局：日本投降后潜逃，1952 年抓捕归案公审枪决,狼牙山五壮士事件主要祸首，熟悉根据地内情，带领日军反复扫荡晋察冀一分区，残害大批干部群众,日本投降后潜逃，1952 年抓捕归案公审枪决
赵老印,永清,河北,廊坊,[伪永清警备大队长；驻守永清城、韩村据点，下乡烧杀抢掠，抓捕堡垒户。],MEDIUM,烧杀、烧杀抢掠,,伪职：伪永清警备大队长；驻守永清城、韩村据点，下乡烧杀抢掠，抓捕堡垒户。；结局：永清解放被俘枪决,驻守永清城、韩村据点，下乡烧杀抢掠，抓捕堡垒户。,永清解放被俘枪决
赵老德,安国,河北,保定,[伪安国警备大队长；伪军主力，反复扫荡安国乡村根据地。],MEDIUM,扫荡,,伪职：伪安国警备大队长；伪军主力，反复扫荡安国乡村根据地。；结局：安国解放被俘处死,伪军主力，反复扫荡安国乡村根据地。,安国解放被俘处死
赵郎斋,亳县全境,安徽,亳州,[汪伪亳县伪县长],MEDIUM,扫荡,,伪职：汪伪亳县伪县长；罪行：正式伪政权主官，建立伪县府、伪警察，收编地方伪军，强化保甲，配合张岚峰部扫荡亳北抗日根据地，残害爱国群众。；结局：日本投降后被捕，判处死刑。,罪行：正式伪政权主官，建立伪县府、伪警察，收编地方伪军，强化保甲，配合张岚峰部扫荡亳北抗日根据地，残害爱国群众。,日本投降后被捕，判处死刑。
赵风山,深县,河北,衡水,[伪深县警备联队长；伪军主力，反复扫荡深县乡村，破坏地道。],MEDIUM,扫荡,,伪职：伪深县警备联队长；伪军主力，反复扫荡深县乡村，破坏地道。；结局：深县解放被俘枪决,伪军主力，反复扫荡深县乡村，破坏地道。,深县解放被俘枪决
赵香亭,临城,河北,邢台,[伪临城县县长，新民会会长；配合日军对临城西部山区实施扫荡。],MEDIUM,扫荡,,伪职：伪临城县县长，新民会会长；配合日军对临城西部山区实施扫荡。；结局：日本投降后潜逃，1946 抓捕归案判刑,配合日军对临城西部山区实施扫荡。,日本投降后潜逃，1946 抓捕归案判刑
边作楫,,,,[伪永清县县长；推行保甲连坐，修筑封锁沟，配合日军反复扫荡永清、安次交界。],MEDIUM,扫荡,,伪职：伪永清县县长；推行保甲连坐，修筑封锁沟，配合日军反复扫荡永清、安次交界。；结局：战后逮捕判处无期徒刑,推行保甲连坐，修筑封锁沟，配合日军反复扫荡永清、安次交界。,战后逮捕判处无期徒刑
达密凌苏龙,察哈尔右翼后旗,内蒙古,乌兰察布,[伪蒙古军第七师少将师长（驻商都）；原地方武装，1937 投日，指挥伪骑兵在商都、陶林一带扫荡，镇压草原抗日活动。],MEDIUM,扫荡,,伪职：伪蒙古军第七师少将师长（驻商都）；原地方武装，1937 投日，指挥伪骑兵在商都、陶林一带扫荡，镇压草原抗日活动。；结局：1945 向苏蒙军投降，部队被带入外蒙古，后病死抖音百科,原地方武装，1937 投日，指挥伪骑兵在商都、陶林一带扫荡，镇压草原抗日活动。,1945 向苏蒙军投降，部队被带入外蒙古，后病死抖音百科
达理札布,科左中旗,内蒙古,通辽,[伪兴安南警备军上校；参与诱骗小喇嘛起义部队到通辽，协助日军解除武装审判杀害起义人员。],MEDIUM,杀害,,伪职：伪兴安南警备军上校；参与诱骗小喇嘛起义部队到通辽，协助日军解除武装审判杀害起义人员。；结局：被俘改造，后病死,参与诱骗小喇嘛起义部队到通辽，协助日军解除武装审判杀害起义人员。,被俘改造，后病死
邬捷飞,佳木斯市区,黑龙江,佳木斯,[伪满协和会骨干，光复后国民党特务],MEDIUM,刺杀,,伪职：伪满协和会骨干，光复后国民党特务；罪行：伪满时期从事奴化宣传；1946 年制造佳木斯刺杀案，暗杀副市长孙西林等多名革命干部，策划城市暴乱阴谋抖音百科。；结局：潜逃后被抓捕处决。,1946 年制造佳木斯刺杀案，暗杀副市长孙西林等多名革命干部，策划城市暴乱阴谋抖音百科。,潜逃后被抓捕处决。
邬捷飞,佳木斯市区,黑龙江,佳木斯,[伪满协和会骨干，光复后国民党特务],MEDIUM,刺杀,,伪职：伪满协和会骨干，光复后国民党特务；罪行：伪满时期从事奴化宣传；1946 年制造佳木斯刺杀案，暗杀副市长孙西林等多名革命干部，策划城市暴乱阴谋抖音百科。；结局：潜逃后被抓捕处决。,1946 年制造佳木斯刺杀案，暗杀副市长孙西林等多名革命干部，策划城市暴乱阴谋抖音百科。,潜逃后被抓捕处决。
邵竞生,萧县黄口、萧城，波及今淮北杜集抖音百科,安徽,宿州,[伪萧县县长],MEDIUM,扫荡,,伪职：伪萧县县长；罪行：邵世恩之子，人称 “二县长”；辅佐其父把持黄口伪政权，后出任汪伪萧县县长，推行保甲、强化治安，配合日军扫荡萧铜根据地。；结局：1952 年镇反处决抖音百科。,辅佐其父把持黄口伪政权，后出任汪伪萧县县长，推行保甲、强化治安，配合日军扫荡萧铜根据地。,1952 年镇反处决抖音百科。
邵竞生,萧县全境,安徽,宿州,[汪伪萧县县长],MEDIUM,扫荡,,伪职：汪伪萧县县长；罪行：邵世恩之子，人称 “二县长”；主持萧县伪县公署，强化保甲良民证，配合日军扫荡萧铜抗日根据地；后调任伪灌云县长、徐州筹备主任抖音百科。；结局：1952 年镇反处决。,主持萧县伪县公署，强化保甲良民证，配合日军扫荡萧铜抗日根据地,1952 年镇反处决。
郑德民,闽东海域,福建,宁德,[伪和平救国军副司令],MEDIUM,杀害,,伪职：伪和平救国军副司令；罪行：张逸舟副手，多次率船窜犯霞浦、福鼎沿海，劫掠船只，参与杀害林义和，兼有伪军、军统双重身份。；结局：战后肃奸逮捕判刑。,罪行：张逸舟副手，多次率船窜犯霞浦、福鼎沿海，劫掠船只，参与杀害林义和，兼有伪军、军统双重身份。,战后肃奸逮捕判刑。
郑洗薰,广东,广东,,[师长],MEDIUM,扫荡,,伪任职务：伪暂编 30 师师长，伪绥靖公署参谋长，扫荡粤中根据地。结局：抗战胜利公审枪决,伪任职务：伪暂编 30 师师长，伪绥靖公署参谋长，扫荡粤中根据地。结局：抗战胜利公审枪决,抗战胜利公审枪决
郑鲁岩,宝清、饶河完达山区域,黑龙江,双鸭山,[原抗联七军政治部主任，叛变特务],MEDIUM,扫荡,,伪职：原抗联七军政治部主任，叛变特务；罪行：被俘投敌，完整出卖东线抗联全部密营坐标、交通网、地下救国会人员名册，致使宝清??饶河抗联根据地遭受毁灭性扫荡。；结局：抗战胜利后被民主政府逮捕处决。,罪行：被俘投敌，完整出卖东线抗联全部密营坐标、交通网、地下救国会人员名册，致使宝清??饶河抗联根据地遭受毁灭性扫荡。,抗战胜利后被民主政府逮捕处决。
郑鲁岩,宝清、饶河完达山区域,黑龙江,双鸭山,[原抗联七军政治部主任，叛变特务],MEDIUM,扫荡,,伪职：原抗联七军政治部主任，叛变特务；罪行：被俘投敌，完整出卖东线抗联全部密营坐标、交通网、地下救国会人员名册，致使宝清??饶河抗联根据地遭受毁灭性扫荡。；结局：抗战胜利后被民主政府逮捕处决。,罪行：被俘投敌，完整出卖东线抗联全部密营坐标、交通网、地下救国会人员名册，致使宝清??饶河抗联根据地遭受毁灭性扫荡。,抗战胜利后被民主政府逮捕处决。
郜德恩,犁桥,安徽,铜陵,[犁桥维持会会长],MEDIUM,扫荡,,伪职：犁桥维持会会长；罪行：犁桥早期维持会头目，迎接日军进驻据点，办理良民证，催粮派夫，抓捕地方爱国群众，充当日军向导下乡扫荡。；结局：被长江锄奸团铲除处决。,罪行：犁桥早期维持会头目，迎接日军进驻据点，办理良民证，催粮派夫，抓捕地方爱国群众，充当日军向导下乡扫荡。,被长江锄奸团铲除处决。
郝凤亭,六安县城（今裕安区）,安徽,六安,[六安城关维持会会长],MEDIUM,扫荡,,伪职：六安城关维持会会长；罪行：六安沦陷头号汉奸，日军入城即组织维持会；搜罗地痞流氓四十余人，为日军征粮筹款、搜集情报、充当扫荡向导，欺压城内百姓。；结局：日军撤退后被捕，1939 年元旦公审枪决。,搜罗地痞流氓四十余人，为日军征粮筹款、搜集情报、充当扫荡向导，欺压城内百姓。,日军撤退后被捕，1939 年元旦公审枪决。
郝鹏举,徐州，徐海全境,江苏,徐州,[伪淮海省省长、汪伪第八方面军上将总司令、徐州绥靖公署主任],MEDIUM,清剿、扫荡,,伪职：伪淮海省省长、汪伪第八方面军上将总司令、徐州绥靖公署主任；罪行：汪伪徐海地区头号大汉奸，执掌伪淮海省军政大权；扩充伪军数万，配合日军扫荡、清剿抗日武装，横征暴敛，掠夺粮食物资；日本投降后反复倒戈，先投国民党，后起义，再度叛变。；结局：1947 年因再次叛变被解放军处决。,扩充伪军数万，配合日军扫荡、清剿抗日武装，横征暴敛，掠夺粮食物资,1947 年因再次叛变被解放军处决。
郭二虎,昌黎,河北,秦皇岛,[伪警备队头目，盘踞碣石山区；多次进山扫荡游击区，烧杀抢掠村庄。],MEDIUM,烧杀、烧杀抢掠、扫荡,,伪职：伪警备队头目，盘踞碣石山区；多次进山扫荡游击区，烧杀抢掠村庄。；结局：1945 昌黎解放被俘处决,多次进山扫荡游击区，烧杀抢掠村庄。,1945 昌黎解放被俘处决
郭二虎,昌黎,河北,秦皇岛,[伪警备队头目，盘踞碣石山区，多次进山扫荡游击区，烧杀抢掠村庄。],MEDIUM,烧杀、烧杀抢掠、扫荡,,伪职：伪警备队头目，盘踞碣石山区，多次进山扫荡游击区，烧杀抢掠村庄。；结局：1945 年昌黎解放被俘处决,伪职：伪警备队头目，盘踞碣石山区，多次进山扫荡游击区，烧杀抢掠村庄。,1945 年昌黎解放被俘处决
郭二虎,昌黎,河北,秦皇岛,[伪警备队头目，盘踞碣石山区；多次进山扫荡游击区，烧杀抢掠村庄。],MEDIUM,烧杀、烧杀抢掠、扫荡,,伪职：伪警备队头目，盘踞碣石山区；多次进山扫荡游击区，烧杀抢掠村庄。；结局：1945 昌黎解放被俘处决,多次进山扫荡游击区，烧杀抢掠村庄。,1945 昌黎解放被俘处决
郭二虎,昌黎,河北,秦皇岛,[伪警备队头目，盘踞碣石山区；多次进山扫荡游击区，烧杀抢掠村庄。],MEDIUM,烧杀、烧杀抢掠、扫荡,,伪职：伪警备队头目，盘踞碣石山区；多次进山扫荡游击区，烧杀抢掠村庄。；结局：1945 昌黎解放被俘处决,多次进山扫荡游击区，烧杀抢掠村庄。,1945 昌黎解放被俘处决
郭二虎,昌黎,河北,秦皇岛,[伪警备队头目，盘踞碣石山区，多次进山扫荡游击区，烧杀抢掠村庄。],MEDIUM,烧杀、烧杀抢掠、扫荡,,伪职：伪警备队头目，盘踞碣石山区，多次进山扫荡游击区，烧杀抢掠村庄。；结局：1945 年昌黎解放被俘处决,伪职：伪警备队头目，盘踞碣石山区，多次进山扫荡游击区，烧杀抢掠村庄。,1945 年昌黎解放被俘处决
郭二虎,昌黎,河北,秦皇岛,[伪警备队头目，盘踞碣石山区，多次进山扫荡。],MEDIUM,扫荡,,伪职：伪警备队头目，盘踞碣石山区，多次进山扫荡。；结局：1945 年解放被俘处决,伪职：伪警备队头目，盘踞碣石山区，多次进山扫荡。,1945 年解放被俘处决
郭元喜,离石前马家村,山西,吕梁,[原离东二区游击队长，叛变投敌],MEDIUM,杀害,,伪职：原离东二区游击队长，叛变投敌；罪行：率 200 余人投敌；带领日伪军偷袭离东县委，致使 6 名干部被捕，2 名女干部惨遭杀害。；结局：解放后公审处决,带领日伪军偷袭离东县委，致使 6 名干部被捕，2 名女干部惨遭杀害。,解放后公审处决
郭化民,邯郸贾村,河北,邯郸,[伪军司令，郭采芹侄子；掌握邯郸主力伪军，盘踞邯郸城、黄粱梦、户村、河沙镇各据点，多次进山扫荡紫山、邯郸西部游击区，破坏地下交通线。],MEDIUM,扫荡,,伪职：伪军司令，郭采芹侄子；掌握邯郸主力伪军，盘踞邯郸城、黄粱梦、户村、河沙镇各据点，多次进山扫荡紫山、邯郸西部游击区，破坏地下交通线。；结局：邯郸城破潜逃北平，1950 抓捕押回邯郸枪决,掌握邯郸主力伪军，盘踞邯郸城、黄粱梦、户村、河沙镇各据点，多次进山扫荡紫山、邯郸西部游击区，破坏地下交通线。,邯郸城破潜逃北平，1950 抓捕押回邯郸枪决
郭化民,邯郸贾村,河北,邯郸,[伪军司令，郭采芹侄子；掌握邯郸主力伪军，盘踞邯郸城、黄粱梦、户村、河沙镇各据点，多次进山扫荡紫山、邯郸西部游击区，破坏地下交通线。],MEDIUM,扫荡,,伪职：伪军司令，郭采芹侄子；掌握邯郸主力伪军，盘踞邯郸城、黄粱梦、户村、河沙镇各据点，多次进山扫荡紫山、邯郸西部游击区，破坏地下交通线。；结局：邯郸城破潜逃北平，1950 抓捕押回邯郸枪决,掌握邯郸主力伪军，盘踞邯郸城、黄粱梦、户村、河沙镇各据点，多次进山扫荡紫山、邯郸西部游击区，破坏地下交通线。,邯郸城破潜逃北平，1950 抓捕押回邯郸枪决
郭化民,邯郸贾村,河北,邯郸,[伪军司令，郭采芹侄子；掌握邯郸主力伪军，盘踞城乡据点，扫荡紫山游击区，破坏地下交通线。],MEDIUM,扫荡,,伪职：伪军司令，郭采芹侄子；掌握邯郸主力伪军，盘踞城乡据点，扫荡紫山游击区，破坏地下交通线。；结局：潜逃北平，1950 抓捕押回邯郸枪决,掌握邯郸主力伪军，盘踞城乡据点，扫荡紫山游击区，破坏地下交通线。,潜逃北平，1950 抓捕押回邯郸枪决
郭恩霖,吉林,吉林,,"[省级长官, 军长, 厅长]",MEDIUM,围剿,,伪任职务：伪吉林省军政厅厅长，伪吉林警备军高级将领，围剿义勇军。结局：苏军逮捕，关押抚顺战犯管理所，病亡狱中,伪任职务：伪吉林省军政厅厅长，伪吉林警备军高级将领，围剿义勇军。结局：苏军逮捕，关押抚顺战犯管理所，病亡狱中,苏军逮捕，关押抚顺战犯管理所，病亡狱中
郭文林,达斡尔族,,,[伪第九军管区司令官（驻通辽）；强化草原治安，搜缴民间武器，布置讨伐队镇压反满抗日活动，配合日军清剿辽北、热河游击武装抖音百科。],MEDIUM,清剿,,伪职：伪第九军管区司令官（驻通辽）；强化草原治安，搜缴民间武器，布置讨伐队镇压反满抗日活动，配合日军清剿辽北、热河游击武装抖音百科。；结局：被俘关押，后特赦释放,强化草原治安，搜缴民间武器，布置讨伐队镇压反满抗日活动，配合日军清剿辽北、热河游击武装抖音百科。,被俘关押，后特赦释放
郭曾基,江苏,江苏,,"[省级长官, 军长, 委员长, 县长]",MEDIUM,刺杀,,伪任职务：伪江苏省政府委员、伪吴县知事（吴县即苏州城），推行保甲，为日军征粮派夫。。结局：1940 年被抗日锄奸团刺杀于苏州司前街三多桥,伪任职务：伪江苏省政府委员、伪吴县知事（吴县即苏州城），推行保甲，为日军征粮派夫。。结局：1940 年被抗日锄奸团刺杀于苏州司前街三多桥,1940 年被抗日锄奸团刺杀于苏州司前街三多桥
郭永福,晋城周村,山西,晋城,[东沟据点伪警备队长、铁杆汉奸],MEDIUM,扫荡,,伪职：东沟据点伪警备队长、铁杆汉奸；罪行：盘踞东沟据点，勾结红枪会，多次下乡扫荡，残害周边村庄百姓，作恶极多。；结局：解放后连同四子一并公审处决,罪行：盘踞东沟据点，勾结红枪会，多次下乡扫荡，残害周边村庄百姓，作恶极多。,解放后连同四子一并公审处决
郭满贵,固阳,内蒙古,包头,[伪固阳讨伐大队长；下乡烧杀抢掠，搜捕游击小组。],MEDIUM,烧杀、烧杀抢掠,,伪职：伪固阳讨伐大队长；下乡烧杀抢掠，搜捕游击小组。；结局：固阳解放被俘处决,下乡烧杀抢掠，搜捕游击小组。,固阳解放被俘处决
郭笃生,曲沃,山西,临汾,[伪曲沃县知事],MEDIUM,扫荡、清乡,,伪职：伪曲沃县知事；罪行：1938 投敌；建立伪县公署，推行奴化教育，强征壮丁送往矿山，配合日伪清乡扫荡，迫害抗属。；结局：1945 年侯马闹市公审枪决,建立伪县公署，推行奴化教育，强征壮丁送往矿山，配合日伪清乡扫荡，迫害抗属。,1945 年侯马闹市公审枪决
郭采芹,邯郸贾村,河北,邯郸,[伪邯郸商会会长、冀南剿共军教导司令；搜刮粮棉资敌，训练伪军，指挥扫荡，杀害大量县区干部。],MEDIUM,杀害、扫荡,,伪职：伪邯郸商会会长、冀南剿共军教导司令；搜刮粮棉资敌，训练伪军，指挥扫荡，杀害大量县区干部。；结局：邯郸解放被俘，公审枪决,搜刮粮棉资敌，训练伪军，指挥扫荡，杀害大量县区干部。,邯郸解放被俘，公审枪决
郭采芹,邯郸贾村,河北,邯郸,[伪邯郸商会会长、冀南剿共军教导司令；冀南头号大汉奸，为日军大量搜刮棉花粮食；训练伪军，参与指挥扫荡，在插箭岭杀害我方多名县区干部，纵容烟馆妓院毒害百姓。],MEDIUM,杀害、扫荡,,伪职：伪邯郸商会会长、冀南剿共军教导司令；冀南头号大汉奸，为日军大量搜刮棉花粮食；训练伪军，参与指挥扫荡，在插箭岭杀害我方多名县区干部，纵容烟馆妓院毒害百姓。；结局：邯郸解放被俘，公审枪决,训练伪军，参与指挥扫荡，在插箭岭杀害我方多名县区干部，纵容烟馆妓院毒害百姓。,邯郸解放被俘，公审枪决
郭采芹,邯郸贾村,河北,邯郸,[伪邯郸商会会长、冀南剿共军教导司令；冀南头号大汉奸，为日军大量搜刮棉花粮食；训练伪军，参与指挥扫荡，在插箭岭杀害我方多名县区干部，纵容烟馆妓院毒害百姓。],MEDIUM,杀害、扫荡,,伪职：伪邯郸商会会长、冀南剿共军教导司令；冀南头号大汉奸，为日军大量搜刮棉花粮食；训练伪军，参与指挥扫荡，在插箭岭杀害我方多名县区干部，纵容烟馆妓院毒害百姓。；结局：邯郸解放被俘，公审枪决,训练伪军，参与指挥扫荡，在插箭岭杀害我方多名县区干部，纵容烟馆妓院毒害百姓。,邯郸解放被俘，公审枪决
金焕章,逊克（逊河）,黑龙江,黑河,[伪逊河地方自卫团头目，光复后挺进军团长],MEDIUM,杀害,,伪职：伪逊河地方自卫团头目，光复后挺进军团长；罪行：伪满时期协助日军维持边境治安，搜捕抗联；日本投降后接收国民党委任，率领匪团攻打民主新政权，杀害逊克首任县长顾延龄及多名干部战士央视网。；结局：剿匪战斗中被俘处决。,日本投降后接收国民党委任，率领匪团攻打民主新政权，杀害逊克首任县长顾延龄及多名干部战士央视网。,剿匪战斗中被俘处决。
金焕章,逊克（逊河）,黑龙江,黑河,[伪逊河地方自卫团头目，光复后挺进军团长],MEDIUM,杀害,,伪职：伪逊河地方自卫团头目，光复后挺进军团长；罪行：伪满时期协助日军维持边境治安，搜捕抗联；日本投降后接收国民党委任，率领匪团攻打民主新政权，杀害逊克首任县长顾延龄及多名干部战士央视网。；结局：剿匪战斗中被俘处决。,日本投降后接收国民党委任，率领匪团攻打民主新政权，杀害逊克首任县长顾延龄及多名干部战士央视网。,剿匪战斗中被俘处决。
钟桂生,武义南部山区,浙江,金华,[武义柳城伪密探],MEDIUM,扫荡,,伪职：武义柳城伪密探；罪行：潜伏山区刺探抗日游击队情报，多次引导日军进山扫荡，残害山区百姓。；结局：地方抗日自卫队抓获处决。,罪行：潜伏山区刺探抗日游击队情报，多次引导日军进山扫荡，残害山区百姓。,地方抗日自卫队抓获处决。
钱阿毛,长兴县城、泗安,浙江,湖州,[长兴伪宪兵队情报组长],MEDIUM,扫荡,,伪职：长兴伪宪兵队情报组长；罪行：地痞投敌，充当日军耳目，引导日军进山扫荡长兴山区，迫害游击根据地百姓。；结局：抗战胜利后公审枪决。,罪行：地痞投敌，充当日军耳目，引导日军进山扫荡长兴山区，迫害游击根据地百姓。,抗战胜利后公审枪决。
钱阿毛,长兴县城、泗安,浙江,湖州,[长兴伪宪兵队情报组长],MEDIUM,扫荡,,伪职：长兴伪宪兵队情报组长；罪行：地痞投敌，充当日军耳目，引导日军进山扫荡长兴山区，迫害游击根据地百姓。；结局：抗战胜利后公审枪决。,罪行：地痞投敌，充当日军耳目，引导日军进山扫荡长兴山区，迫害游击根据地百姓。,抗战胜利后公审枪决。
门致中,吉林，曾任宁夏省主席（1927??1929）,吉林,,"[省级长官, 部长, 军长, 司令, 委员长, 总司令]",MEDIUM,扫荡,,伪任职务：早年做过宁夏省主席，抗战期间在华北投敌，伪华北政务委员会常务委员、华北治安军总司令，指挥伪治安军扫荡华北抗日根据地，作恶全部在华北，不在宁夏。。结局：抗战胜利被国民政府收编，之后逃往香港，客死香港,伪任职务：早年做过宁夏省主席，抗战期间在华北投敌，伪华北政务委员会常务委员、华北治安军总司令，指挥伪治安军扫荡华北抗日根据地，作恶全部在华北，不在宁夏。。结局：抗战胜利被国民政府收编，之后逃往香港，客死香港,抗战胜利被国民政府收编，之后逃往香港，客死香港
阎啸风,,,,[伪翼城县县长],MEDIUM,扫荡,,伪职：伪翼城县县长；罪行：日军占领翼城后组建伪公署；修筑据点，征粮抓丁，配合日军扫荡翼城东部山区。；结局：战后逮捕判刑,修筑据点，征粮抓丁，配合日军扫荡翼城东部山区。,战后逮捕判刑
阎子良,猗氏,山西,运城,[伪猗氏县县长],MEDIUM,清乡,,伪职：伪猗氏县县长；罪行：组建伪政权，强征粮棉，配合日军清乡。；结局：战后逮捕判刑,罪行：组建伪政权，强征粮棉，配合日军清乡。,战后逮捕判刑
阿拉坦鄂济尔,杭锦旗,内蒙古,鄂尔多斯,[伪伊克昭盟公署盟长，公署常驻包头；游说各旗王公投日，强征牛羊马匹供给伪蒙古军，引导日军渡河扫荡伊盟根据地。],MEDIUM,扫荡,,伪职：伪伊克昭盟公署盟长，公署常驻包头；游说各旗王公投日，强征牛羊马匹供给伪蒙古军，引导日军渡河扫荡伊盟根据地。；结局：日降后交印，居家管制，草场没收,游说各旗王公投日，强征牛羊马匹供给伪蒙古军，引导日军渡河扫荡伊盟根据地。,日降后交印，居家管制，草场没收
陆少家,余姚盐区,浙江,宁波,[伪余姚福寿乡事务员],MEDIUM,清乡,,伪职：伪余姚福寿乡事务员；罪行：基层伪爪牙，告密抗日人员，协助日伪清乡，压榨盐民百姓。；结局：根据地抗日武装抓捕，教育释放后仍继续通敌，后被镇压。,罪行：基层伪爪牙，告密抗日人员，协助日伪清乡，压榨盐民百姓。,根据地抗日武装抓捕，教育释放后仍继续通敌，后被镇压。
陆慎之,常州,江苏,常州,"[清乡, 县长]",MEDIUM,清乡,,伪任职务：伪武进县警察局局长，掌控伪警察，配合宪兵队搜捕地下抗日人员，参与清乡抓捕。。结局：光复后公审枪决,伪任职务：伪武进县警察局局长，掌控伪警察，配合宪兵队搜捕地下抗日人员，参与清乡抓捕。。结局：光复后公审枪决,光复后公审枪决
陆翥双,不详,,,"[清乡, 县长]",MEDIUM,清乡,,伪任职务：伪吴县县长，配合清乡运动，下乡摊派苛捐。。结局：战后逮捕，判处重刑关押苏州市地方...,伪任职务：伪吴县县长，配合清乡运动，下乡摊派苛捐。。结局：战后逮捕，判处重刑关押苏州市地方...,战后逮捕，判处重刑关押苏州市地方...
陈光寒,阜宁、建湖北部,江苏,盐城,[伪阜宁县县长],MEDIUM,扫荡,,伪职：伪阜宁县县长；罪行：原地方游击武装副司令，率部投敌；执掌阜宁伪县公署，出动伪武装下乡扫荡盐阜根据地，抓捕迫害抗日军民。；结局：1945 年被俘，公审处决。,执掌阜宁伪县公署，出动伪武装下乡扫荡盐阜根据地，抓捕迫害抗日军民。,1945 年被俘，公审处决。
陈农荪,杭县临平,浙江,杭州,"[军长, 清乡, 维持会]",MEDIUM,清乡,,伪任职务：临平伪维持会长、伪区长，搜刮粮饷，配合日军下乡清乡。。结局：战后捕获，判处死刑,伪任职务：临平伪维持会长、伪区长，搜刮粮饷，配合日军下乡清乡。。结局：战后捕获，判处死刑,战后捕获，判处死刑
陈升儒,泗阳众兴,江苏,宿迁,[伪泗阳县县长、苏淮特区教育处长],MEDIUM,扫荡,,伪职：伪泗阳县县长、苏淮特区教育处长；罪行：教育出身投敌，两度出任伪泗阳县长；建立伪保甲体系，奴化教育，征粮抓丁，配合日伪扫荡泗阳根据地。；结局：1945 年两淮战役被俘，1946 年两万群众公审处决。,建立伪保甲体系，奴化教育，征粮抓丁，配合日伪扫荡泗阳根据地。,1945 年两淮战役被俘，1946 年两万群众公审处决。
陈升儒,泗阳众兴,江苏,宿迁,[伪泗阳县县长、苏淮特区教育处长],MEDIUM,扫荡,,伪职：伪泗阳县县长、苏淮特区教育处长；罪行：教育出身投敌，两度出任伪泗阳县长；建立伪保甲体系，奴化教育，征粮抓丁，配合日伪扫荡泗阳根据地。；结局：1945 年两淮战役被俘，1946 年两万群众公审处决。,建立伪保甲体系，奴化教育，征粮抓丁，配合日伪扫荡泗阳根据地。,1945 年两淮战役被俘，1946 年两万群众公审处决。
陈博九,不详,,,"[市长, 清乡]",MEDIUM,清乡,,伪任职务：伪清乡警察大队长，张北生心腹，捕杀武工队，施用酷刑，双手沾满革命者鲜血南通市档案...。。结局：光复后公审枪决,伪任职务：伪清乡警察大队长，张北生心腹，捕杀武工队，施用酷刑，双手沾满革命者鲜血南通市档案...。。结局：光复后公审枪决,光复后公审枪决
陈天锡,,,,[伪晋城县首任县长],MEDIUM,扫荡,,伪职：伪晋城县首任县长；罪行：建立晋城伪县公署、伪警察、新民会；推行保甲十家连坐，征粮抓丁，管控白晋铁路，配合日军扫荡晋南根据地。；结局：抗战胜利逮捕，汉奸罪重判,推行保甲十家连坐，征粮抓丁，管控白晋铁路，配合日军扫荡晋南根据地。,抗战胜利逮捕，汉奸罪重判
陈守谦,长子,山西,长治,[伪长子警备大队长],MEDIUM,清剿,,伪职：伪长子警备大队长；罪行：下乡清剿，残害堡垒户，勒索地方百姓。；结局：解放后处决,罪行：下乡清剿，残害堡垒户，勒索地方百姓。,解放后处决
陈守谦,长子,山西,长治,[伪长子警备大队长],MEDIUM,清剿,,伪职：伪长子警备大队长；罪行：下乡清剿，残害堡垒户，勒索地方百姓。；结局：解放后处决,罪行：下乡清剿，残害堡垒户，勒索地方百姓。,解放后处决
